"zipcode","COVID_Week_20220416","COVID_Week_20220409","COVID_Week_20220402","COVID_Week_20220326","COVID_Week_20220319","COVID_Week_20220312","COVID_Week_20220305","COVID_Week_20220226","COVID_Week_20220219","COVID_Week_20220212","COVID_Week_20220205","COVID_Week_20220129","COVID_Week_20220122","COVID_Week_20220115","COVID_Week_20220108","COVID_Week_20220101","COVID_Week_20211225","COVID_Week_20211218","COVID_Week_20211211","COVID_Week_20211204","COVID_Week_20211127","COVID_Week_20211120","COVID_Week_20211113","COVID_Week_20211106","COVID_Week_20211030","COVID_Week_20211023","COVID_Week_20211016","COVID_Week_20211009","COVID_Week_20211002","COVID_Week_20210925","COVID_Week_20210918","COVID_Week_20210911","COVID_Week_20210904","COVID_Week_20210828","COVID_Week_20210821","COVID_Week_20210814","COVID_Week_20210807","COVID_Week_20210731","COVID_Week_20210724","COVID_Week_20210717","COVID_Week_20210710","COVID_Week_20210703","COVID_Week_20210626","COVID_Week_20210619","COVID_Week_20210612","COVID_Week_20210605","COVID_Week_20210529","COVID_Week_20210522","COVID_Week_20210515","COVID_Week_20210508","COVID_Week_20210501","COVID_Week_20210424","COVID_Week_20210417","COVID_Week_20210410","COVID_Week_20210403","COVID_Week_20210327","COVID_Week_20210320","COVID_Week_20210313","COVID_Week_20210306","COVID_Week_20210227","COVID_Week_20210220","COVID_Week_20210213","COVID_Week_20210206","COVID_Week_20210130","COVID_Week_20210123","COVID_Week_20210116","COVID_Week_20210109","COVID_Week_20210102","COVID_Week_20201226","COVID_Week_20201219","COVID_Week_20201212"
"60611",289.9,249.8,206.6,132.6,49.3,52.4,46.3,55.5,98.7,169.6,157.3,234.4,385.5,706.2,1591.3,1480.3,1801,1033.1,215.9,203.5,126.4,144.9,123.4,104.9,77.1,114.1,107.9,74,55.5,86.4,89.4,86.4,70.9,111,123.4,138.8,114.1,95.6,83.3,55.5,18.5,9.3,9.3,6.2,6.2,21.6,27.8,12.3,12.3,37,117.2,74,123.4,120.3,151.1,148,126.4,80.2,67.8,37,74,58.6,95.6,101.8,135.7,178.9,262.1,262.1,123.4,237.5,225.1
"60612",125.3,93.3,64.1,72.9,46.6,46.6,20.4,46.6,64.1,102,102,247.7,472.2,909.3,1754.5,2156.7,1707.9,833.6,381.8,338.1,186.5,157.4,137,119.5,110.8,72.9,84.5,99.1,64.1,81.6,163.2,113.7,122.4,142.8,139.9,148.6,116.6,78.7,99.1,43.7,32.1,26.2,8.7,32.1,23.3,32.1,52.5,99.1,99.1,177.8,192.4,247.7,218.6,151.6,151.6,163.2,110.8,55.4,87.4,87.4,58.3,64.1,67,116.6,183.6,276.9,291.5,276.9,166.1,297.3,405.1
"60613",281.4,231.5,143.7,135.7,83.8,73.8,59.9,63.9,71.8,119.7,175.6,339.2,441,937.9,1544.5,1710.1,1819.9,961.8,199.5,161.6,113.7,149.7,141.7,65.9,77.8,71.8,57.9,75.8,59.9,89.8,89.8,93.8,113.7,115.7,169.6,171.6,133.7,65.9,69.8,45.9,12,8,6,6,6,6,6,10,35.9,37.9,71.8,111.7,137.7,187.6,229.5,203.5,117.7,87.8,95.8,59.9,53.9,55.9,129.7,145.7,159.6,147.7,289.3,219.5,197.6,215.5,275.4
"60614",331,249.6,180.9,161.3,99.6,44.9,57.5,51.9,72.9,137.4,211.8,321.1,384.2,768.5,1293,1260.7,1646.4,1161.2,251,281.9,161.3,152.9,171.1,120.6,89.8,68.7,96.8,101,77.1,96.8,126.2,144.4,112.2,115,155.7,165.5,137.4,95.4,71.5,40.7,11.2,11.2,12.6,4.2,7,4.2,11.2,42.1,25.2,32.3,85.5,115,133.2,187.9,277.7,287.5,190.7,113.6,85.5,92.6,89.8,98.2,112.2,119.2,150.1,196.3,335.2,193.5,173.9,193.5,273.5
"60615",233.4,223.8,103.5,38.5,55.3,43.3,38.5,50.5,93.8,60.1,137.1,166,293.5,678.5,1421.9,1520.6,1335.3,856.5,228.6,271.9,89,137.1,120.3,105.9,48.1,48.1,57.7,57.7,89,93.8,115.5,101.1,139.5,125.1,91.4,98.6,101.1,89,55.3,19.2,4.8,12,7.2,19.2,16.8,36.1,26.5,86.6,72.2,86.6,158.8,125.1,185.3,132.3,84.2,60.1,48.1,38.5,26.5,45.7,45.7,45.7,113.1,103.5,91.4,161.2,158.8,144.4,129.9,161.2,206.9
"60616",124.9,102.8,62.4,53.2,33,23.9,44.1,66.1,90,82.6,126.7,209.3,424.1,732.6,1226.5,1452.3,1156.7,583.9,183.6,139.5,86.3,95.5,73.4,77.1,69.8,42.2,40.4,71.6,53.2,56.9,77.1,75.3,79,102.8,108.3,99.1,91.8,73.4,36.7,22,14.7,3.7,9.2,3.7,7.3,14.7,31.2,31.2,40.4,75.3,82.6,104.7,97.3,146.9,139.5,91.8,60.6,44.1,53.2,40.4,53.2,77.1,95.5,113.8,176.3,168.9,262.6,240.5,240.5,383.7,235
"60617",54.5,55.7,31.5,13.3,10.9,20.6,18.2,31.5,32.7,58.2,87.2,175.7,327.1,628.8,1114.7,1599.3,1016.6,672.5,304.1,209.6,132.1,117.5,121.2,95.7,78.8,59.4,63,77.5,116.3,99.4,113.9,141.8,101.8,104.2,104.2,112.7,103,58.2,41.2,29.1,14.5,6.1,7.3,4.8,12.1,38.8,64.2,105.4,110.3,115.1,168.4,130.9,192.6,237.5,107.8,99.4,84.8,61.8,44.8,65.4,31.5,77.5,78.8,157.5,195.1,254.4,298.1,255.7,199.9,282.3,382.9
"60618",178,240.5,161,107,65.7,50.9,54,50.9,85.8,111.2,188.6,293.4,477.8,811.5,1669.6,1665.3,1167.4,595.4,242.6,239.4,149.4,166.3,121.8,72,78.4,72,61.4,68.9,100.6,65.7,120.8,101.7,125,117.6,115.5,146.2,93.2,78.4,50.9,38.1,17,9.5,9.5,9.5,15.9,15.9,17,25.4,51.9,85.8,98.5,102.8,132.4,182.2,134.5,130.3,85.8,90,71,71,74.2,75.2,140.9,142,146.2,216.1,315.7,295.6,229.9,258.5,335.8
"60619",37.5,44.1,22.9,19.6,26.1,16.3,22.9,37.5,29.4,73.5,104.5,145.3,308.5,617.1,1257,1697.7,1446.3,863.6,272.6,259.6,109.4,145.3,122.4,129,97.9,75.1,81.6,104.5,101.2,114.3,102.8,101.2,120.8,125.7,169.8,156.7,97.9,83.3,55.5,39.2,19.6,16.3,9.8,13.1,29.4,47.3,50.6,114.3,127.3,160,182.8,161.6,254.7,233.4,195.9,102.8,80,55.5,40.8,65.3,40.8,65.3,81.6,111,119.2,173,230.2,174.7,194.3,257.9,277.5
"60620",38.2,42.6,16.2,23.5,19.1,32.3,23.5,35.2,30.8,92.5,105.7,142.4,295.2,575.7,1229.1,1791.6,1415.6,887,282,251.1,133.6,164.5,145.4,113.1,73.4,55.8,61.7,72,107.2,92.5,120.4,124.8,148.3,138,111.6,113.1,79.3,72,49.9,48.5,11.7,16.2,4.4,14.7,19.1,22,55.8,94,145.4,149.8,190.9,185,210,208.5,141,95.5,66.1,36.7,47,54.3,61.7,61.7,96.9,114.5,163,195.3,248.2,192.4,154.2,245.2,309.9
