"zipcode","COVID_Week_20220416","COVID_Week_20220409","COVID_Week_20220402","COVID_Week_20220326","COVID_Week_20220319","COVID_Week_20220312","COVID_Week_20220305","COVID_Week_20220226","COVID_Week_20220219","COVID_Week_20220212","COVID_Week_20220205","COVID_Week_20220129","COVID_Week_20220122","COVID_Week_20220115","COVID_Week_20220108","COVID_Week_20220101","COVID_Week_20211225","COVID_Week_20211218","COVID_Week_20211211","COVID_Week_20211204","COVID_Week_20211127","COVID_Week_20211120","COVID_Week_20211113","COVID_Week_20211106","COVID_Week_20211030","COVID_Week_20211023","COVID_Week_20211016","COVID_Week_20211009","COVID_Week_20211002","COVID_Week_20210925","COVID_Week_20210918","COVID_Week_20210911","COVID_Week_20210904","COVID_Week_20210828","COVID_Week_20210821","COVID_Week_20210814","COVID_Week_20210807","COVID_Week_20210731","COVID_Week_20210724","COVID_Week_20210717","COVID_Week_20210710","COVID_Week_20210703","COVID_Week_20210626","COVID_Week_20210619","COVID_Week_20210612","COVID_Week_20210605","COVID_Week_20210529","COVID_Week_20210522","COVID_Week_20210515","COVID_Week_20210508","COVID_Week_20210501","COVID_Week_20210424","COVID_Week_20210417","COVID_Week_20210410","COVID_Week_20210403","COVID_Week_20210327","COVID_Week_20210320","COVID_Week_20210313","COVID_Week_20210306","COVID_Week_20210227","COVID_Week_20210220","COVID_Week_20210213","COVID_Week_20210206","COVID_Week_20210130","COVID_Week_20210123","COVID_Week_20210116","COVID_Week_20210109","COVID_Week_20210102","COVID_Week_20201226","COVID_Week_20201219","COVID_Week_20201212"
"60642",212.9,173.3,148.5,59.4,34.7,34.7,54.5,49.5,54.5,118.8,108.9,272.3,386.1,747.5,1554.4,1366.3,1638.5,1202.9,396,242.6,148.5,262.4,198,113.9,54.5,113.9,89.1,54.5,89.1,153.5,118.8,188.1,99,148.5,104,143.6,207.9,113.9,54.5,49.5,34.7,19.8,9.9,5,5,14.9,29.7,24.8,34.7,69.3,79.2,113.9,168.3,262.4,287.1,292.1,143.6,153.5,89.1,44.6,79.2,138.6,143.6,237.6,158.4,252.5,410.9,267.3,242.6,341.6,331.7
"60643",96.3,70.2,76.2,38.1,18,30.1,24.1,42.1,54.1,54.1,82.2,206.5,314.8,597.6,1361.5,1943.1,1552,832.2,352.9,264.7,180.5,154.4,154.4,120.3,72.2,54.1,76.2,106.3,152.4,166.4,156.4,132.3,144.4,152.4,114.3,132.3,74.2,80.2,50.1,44.1,26.1,8,12,4,26.1,14,34.1,64.2,110.3,138.4,178.5,168.4,110.3,224.6,130.3,90.2,76.2,66.2,44.1,58.2,40.1,96.3,130.3,114.3,160.4,244.6,300.8,254.7,192.5,256.7,344.9
"60644",52.4,16.8,21,16.8,12.6,21,21,25.2,35.6,77.5,96.4,163.5,343.7,695.8,1538.4,2167.2,1504.9,733.6,345.8,291.3,142.5,94.3,98.5,92.2,50.3,60.8,73.4,96.4,90.1,94.3,132,140.4,125.8,115.3,98.5,106.9,88,62.9,27.2,39.8,27.2,10.5,14.7,4.2,23.1,23.1,54.5,117.4,140.4,159.3,220.1,222.2,264.1,226.4,127.9,123.7,109,98.5,48.2,56.6,62.9,79.6,111.1,115.3,163.5,232.6,234.7,238.9,174,247.3,306
"60645",106.8,92.2,90.1,79.6,56.6,33.5,44,67,92.2,148.7,245.1,318.4,706,1112.5,1680.2,1627.8,898.8,467.2,261.9,190.6,167.6,142.5,102.7,192.7,199,165.5,196.9,119.4,102.7,113.1,94.3,64.9,64.9,119.4,73.3,83.8,77.5,67,56.6,23,16.8,4.2,6.3,12.6,8.4,18.9,16.8,52.4,81.7,79.6,117.3,148.7,140.4,178.1,138.3,104.8,125.7,113.1,113.1,58.7,69.1,108.9,106.8,144.6,190.6,249.3,362.4,339.4,297.5,398.1,463
"60646",207.2,135.8,125.1,132.2,67.9,60.7,60.7,71.5,92.9,150.1,243,357.3,661,939.7,1879.4,1675.8,1118.4,721.8,321.6,321.6,207.2,225.1,250.1,189.4,121.5,78.6,75,82.2,96.5,78.6,92.9,146.5,146.5,146.5,142.9,157.2,125.1,75,85.8,17.9,7.1,7.1,3.6,3.6,21.4,28.6,32.2,35.7,78.6,71.5,96.5,103.6,160.8,189.4,253.7,164.4,135.8,78.6,78.6,82.2,110.8,164.4,192.9,178.7,250.1,278.7,428.8,378.7,293,260.8,353.7
"60647",225.1,192,144,91.4,82.3,48,43.4,60.6,72,92.6,166.8,306.3,448,812.5,1380.4,1491.3,1306.2,690.2,254.8,249.1,121.1,164.6,152,102.8,73.1,82.3,78.8,65.1,91.4,80,104,116.6,124.6,110.8,157.7,126.8,109.7,78.8,56,38.9,16,9.1,9.1,8,3.4,11.4,30.9,38.9,53.7,65.1,99.4,110.8,148.6,187.4,176,162.3,118.8,88,59.4,82.3,58.3,96,101.7,172.6,171.4,254.8,376,288,261.7,355.4,418.2
"60649",52.1,28.2,8.7,19.6,30.4,30.4,19.6,30.4,47.8,63,80.4,154.3,271.6,682.3,1169,1668.7,1375.4,825.7,328.1,219.5,123.8,165.1,156.4,95.6,65.2,50,67.4,65.2,119.5,99.9,130.4,76,121.7,160.8,99.9,108.6,63,78.2,50,30.4,6.5,6.5,23.9,13,32.6,34.8,58.7,99.9,126,169.5,204.2,171.6,228.1,184.7,134.7,65.2,82.6,36.9,50,52.1,30.4,69.5,86.9,110.8,130.4,167.3,221.6,195.6,195.6,193.4,269.4
"60651",44.3,45.9,26.9,23.7,28.5,22.1,22.1,33.2,47.5,90.2,126.5,221.5,488.8,887.4,1607.1,1863.4,1150,601.1,283.1,245.2,83.8,125,107.6,77.5,68,71.2,50.6,102.8,96.5,82.3,118.6,128.1,113.9,134.5,123.4,113.9,71.2,96.5,36.4,31.6,7.9,7.9,7.9,12.7,17.4,26.9,34.8,91.7,72.8,121.8,156.6,166.1,218.3,238.9,162.9,94.9,80.7,74.3,68,82.3,38,104.4,169.3,175.6,251.5,327.4,344.8,270.5,287.9,408.1,528.3
"60652",63.8,29.6,27.3,29.6,13.7,20.5,29.6,22.8,61.5,118.4,134.4,239.1,403.1,797.1,1963.2,2370.9,1286.8,644.5,273.3,218.6,134.4,141.2,173.1,93.4,82,59.2,61.5,75.2,72.9,102.5,93.4,120.7,136.7,123,102.5,145.8,107,50.1,52.4,29.6,11.4,4.6,9.1,31.9,43.3,43.3,45.6,70.6,79.7,120.7,200.4,198.1,170.8,175.4,100.2,93.4,56.9,66,75.2,47.8,66,107,141.2,170.8,216.4,284.7,441.8,353,257.4,330.2,425.9
"60653",97,90.7,43.8,25,28.1,18.8,37.5,31.3,37.5,68.8,81.3,165.8,350.3,706.9,1498.2,2105,1735.9,1038.4,347.2,237.7,147,122,165.8,128.2,59.4,71.9,106.3,84.4,109.5,59.4,115.7,156.4,128.2,150.1,178.3,122,137.6,90.7,71.9,59.4,21.9,31.3,0,28.1,6.3,21.9,87.6,87.6,97,231.5,184.5,165.8,193.9,187.7,156.4,112.6,84.4,43.8,62.6,53.2,59.4,75.1,131.4,156.4,156.4,150.1,247.1,190.8,178.3,253.3,356.6
"60654",261.3,203.8,109.7,99.3,125.4,41.8,41.8,52.3,52.3,156.8,130.7,277,339.7,763,1614.8,1212.4,2299.5,1599.2,219.5,167.2,141.1,203.8,104.5,120.2,99.3,78.4,62.7,109.7,135.9,57.5,104.5,120.2,130.7,172.5,214.3,250.8,177.7,135.9,73.2,88.8,15.7,10.5,0,10.5,0,57.5,26.1,36.6,47,36.6,88.8,135.9,156.8,308.3,324,339.7,198.6,88.8,88.8,141.1,88.8,135.9,120.2,156.8,135.9,303.1,522.6,303.1,209,303.1,381.5
"60655",55.5,76.4,52.1,45.1,34.7,24.3,45.1,69.4,62.5,83.3,111.1,315.9,461.7,722.1,1569.2,2076.1,1614.4,892.2,423.6,531.2,281.2,336.8,218.7,177.1,131.9,100.7,121.5,93.7,107.6,121.5,125,159.7,135.4,142.3,163.2,86.8,62.5,59,31.2,6.9,6.9,10.4,3.5,6.9,38.2,3.5,17.4,62.5,34.7,69.4,76.4,152.8,142.3,121.5,211.8,93.7,93.7,52.1,83.3,76.4,93.7,104.2,211.8,187.5,225.7,322.9,506.9,402.7,305.5,322.9,475.6
"60656",126.9,130.5,90.6,72.5,54.4,50.8,25.4,90.6,101.5,174,210.3,380.7,649,1026.1,1838.4,1388.7,917.4,620,319.1,377.1,203.1,199.4,217.6,123.3,108.8,134.2,123.3,123.3,137.8,137.8,119.7,188.5,217.6,181.3,210.3,130.5,126.9,134.2,61.6,36.3,18.1,25.4,10.9,10.9,3.6,36.3,61.6,83.4,116,123.3,170.4,192.2,261.1,235.7,188.5,163.2,177.7,184.9,152.3,97.9,76.1,119.7,159.5,170.4,242.9,377.1,337.2,362.6,304.6,380.7,395.2
"60657",285.5,238.4,187,199.9,105.6,62.8,68.5,69.9,94.2,162.7,197,344,542.5,822.2,1343.3,1404.7,1790.1,1314.7,251.2,264.1,164.2,197,148.5,125.6,88.5,77.1,79.9,81.4,124.2,82.8,107.1,107.1,127,114.2,142.8,222.7,149.9,105.6,58.5,42.8,20,8.6,5.7,7.1,4.3,8.6,12.8,20,34.3,37.1,54.2,102.8,144.2,211.3,288.4,281.2,141.3,102.8,69.9,68.5,62.8,98.5,131.3,137,145.6,232.7,345.5,198.4,175.6,159.9,234.1
"60659",126.6,119.3,85.2,60.9,63.3,75.5,36.5,77.9,77.9,160.7,204.5,379.9,698.8,1176.1,1711.8,1570.6,840.1,365.2,255.7,226.5,121.7,116.9,129.1,85.2,143.7,148.5,148.5,97.4,77.9,77.9,104.7,95,104.7,75.5,90.1,126.6,102.3,63.3,43.8,19.5,36.5,4.9,7.3,4.9,7.3,7.3,14.6,46.3,60.9,107.1,133.9,129.1,131.5,182.6,146.1,165.6,151,70.6,82.8,60.9,90.1,131.5,126.6,116.9,238.6,280,309.2,287.3,231.3,333.6,426.1
"60660",210.4,198.9,124.9,83.3,50.9,39.3,64.8,85.6,104.1,154.9,168.8,268.3,441.7,834.8,1352.9,1244.2,1019.8,617.5,187.3,164.2,85.6,129.5,101.8,83.3,69.4,60.1,48.6,57.8,64.8,71.7,78.6,101.8,85.6,101.8,104.1,104.1,83.3,50.9,71.7,34.7,20.8,18.5,11.6,4.6,9.3,13.9,20.8,34.7,34.7,74,85.6,60.1,115.6,141.1,164.2,141.1,85.6,69.4,78.6,71.7,37,62.4,104.1,94.8,161.9,191.9,254.4,205.8,148,189.6,235.9
"60661",362.7,221.6,191.4,141,60.4,40.3,50.4,40.3,131,131,141,392.9,604.5,806,1611.9,1803.3,2609.3,1390.3,332.5,201.5,131,211.6,211.6,161.2,80.6,80.6,110.8,80.6,90.7,80.6,80.6,100.7,110.8,131,141,110.8,322.4,191.4,100.7,70.5,10.1,10.1,10.1,10.1,0,20.1,0,30.2,40.3,60.4,110.8,161.2,211.6,201.5,292.2,261.9,110.8,131,80.6,70.5,131,131,131,191.4,120.9,141,443.3,171.3,161.2,201.5,211.6
"60666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60707",41.8,34.9,18.6,9.3,7,7,4.6,25.6,44.2,51.1,76.7,116.2,192.9,404.5,815.9,778.7,504.4,255.7,139.5,118.6,65.1,88.3,53.5,55.8,37.2,27.9,27.9,23.2,30.2,48.8,62.8,48.8,53.5,69.7,41.8,69.7,62.8,39.5,13.9,7,0,4.6,2.3,7,2.3,0,13.9,25.6,20.9,48.8,46.5,62.8,55.8,72.1,93,86,30.2,37.2,32.5,37.2,27.9,27.9,62.8,102.3,69.7,118.6,144.1,123.2,132.5,158.1,244.1
"60827",3.5,0,0,0,7,7,14,17.5,24.5,14,24.5,21,56,112,234.5,339.4,227.5,150.5,108.5,56,31.5,31.5,7,17.5,35,10.5,24.5,31.5,56,38.5,38.5,14,24.5,10.5,10.5,14,17.5,7,3.5,3.5,0,0,0,3.5,3.5,10.5,14,17.5,35,28,56,52.5,21,31.5,21,7,17.5,7,3.5,21,7,3.5,10.5,35,24.5,17.5,28,35,21,52.5,49
