"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","550030010","3","7","ug/m3 LC","29","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/02/2020","AQS","550030010","3","7.1","ug/m3 LC","30","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/03/2020","AQS","550030010","3","2.7","ug/m3 LC","11","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/04/2020","AQS","550030010","3","4.2","ug/m3 LC","18","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/05/2020","AQS","550030010","3","6.5","ug/m3 LC","27","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/06/2020","AQS","550030010","3","3.1","ug/m3 LC","13","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/07/2020","AQS","550030010","3","3.2","ug/m3 LC","13","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/08/2020","AQS","550030010","3","2.1","ug/m3 LC","9","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/09/2020","AQS","550030010","3","7.9","ug/m3 LC","33","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
"01/10/2020","AQS","550030010","3","8.2","ug/m3 LC","34","BAD RIVER TRIBAL SCHOOL - ODANAH","1","100.0000","88101","PM2.5 - Local Conditions","","","55","Wisconsin","003","Ashland","46.6022480009416","-90.656141"
