"","moyr","Site Num","Longitude","Latitude","avg_pm25"
"1","1-2014","0001",-87.732457,41.670992,8.80774427586207
"2","1-2014","0010",-87.933333,43.016667,9.36047803225807
"3","1-2014","0019",-87.8093,42.504722,12.4797569032258
"4","1-2014","0022",-87.304722,41.606667,11.1
"5","1-2014","0026",-87.913504,43.060975,7.20533295652174
"6","1-2014","0027",-88.21507,43.020075,8.81004759701493
"7","1-2014","0057",-87.722673,41.912739,9.41984102985075
"8","1-2014","0058",-87.931983,42.930708,11.478313483871
"9","1-2014","0076",-87.713488,41.7514,7.89247252238806
"10","1-2014","1011",-88.190967,41.221537,7.43642470967742
"11","1-2014","4002",-88.152534,41.771071,5.475
"12","1-2014","4201",-87.799227,42.139996,8.32502346376812
"13","1-2014","6005",-87.748902,41.864426,9.04138030645161
"14","1-2015","0001",-88.242207,42.221442,8.56719906
"15","1-2015","0001",-87.732457,41.670992,8.0129704516129
"16","1-2015","0010",-87.933333,43.016667,8.40821112903226
"17","1-2015","0019",-87.8093,42.504722,9.82431629032258
"18","1-2015","0026",-87.913504,43.060975,8.30893306896552
"19","1-2015","0027",-88.21507,43.020075,11.3225928870968
"20","1-2015","0057",-87.722673,41.912739,10.2633736612903
"21","1-2015","0058",-87.931983,42.930708,11.0597066612903
"22","1-2015","0076",-87.713488,41.7514,9.3832945483871
"23","1-2015","1011",-88.190967,41.221537,10.7156935409836
"24","1-2015","4201",-87.799227,42.139996,9.17513905
"25","1-2015","6005",-87.748902,41.864426,9.03191820754717
"26","1-2016","0001",-88.242207,42.221442,8.39018811290323
"27","1-2016","0001",-87.732457,41.670992,9.68101552542373
"28","1-2016","0010",-87.933333,43.016667,9.74951337096774
"29","1-2016","0019",-87.8093,42.504722,8.9380259516129
"30","1-2016","0026",-87.913504,43.060975,9.98626370491803
"31","1-2016","0027",-88.21507,43.020075,11.5808527741935
"32","1-2016","0057",-87.722673,41.912739,9.10689761290323
"33","1-2016","0058",-87.931983,42.930708,10.340100483871
"34","1-2016","0076",-87.713488,41.7514,7.87233359677419
"35","1-2016","1011",-88.190967,41.221537,7.68111561290323
"36","1-2016","4201",-87.799227,42.139996,8.76929318644068
"37","1-2016","6005",-87.748902,41.864426,7.37063172580645
"38","1-2017","0001",-88.242207,42.221442,6.9614919516129
"39","1-2017","0001",-87.732457,41.670992,9.56074055357143
"40","1-2017","0057",-87.722673,41.912739,11.7946237096774
"41","1-2017","0076",-87.713488,41.7514,11.5377528709677
"42","1-2017","6005",-87.748902,41.864426,13.0922539827586
"43","1-2018","0001",-88.242207,42.221442,8.26464133333333
"44","1-2018","0001",-87.732457,41.670992,8.61044041666667
"45","1-2018","0057",-87.722673,41.912739,8.55332774545455
"46","1-2018","0076",-87.713488,41.7514,9.07777680327869
"47","1-2018","6005",-87.748902,41.864426,8.27524051785714
"48","10-2014","0001",-88.242207,42.221442,7.58882174358974
"49","10-2014","0001",-87.732457,41.670992,6.06330641935484
"50","10-2014","0010",-87.933333,43.016667,6.08451483870968
"51","10-2014","0019",-87.8093,42.504722,5.62359924074074
"52","10-2014","0026",-87.913504,43.060975,4.84447172580645
"53","10-2014","0027",-88.21507,43.020075,7.42344681967213
